Lineage,Hemisphere,Category,Count
S-MNa,Right,suNB,0
S-MNp,Left,suNB,0
S-MNp,Right,suNB,0
S-MNp2,Left,suNB,0
S-MNp2,Right,suNB,0
S-PNa,Left,suNB,0
S-PNa,Right,suNB,0
S-PNm,Left,suNB,0
S-PNm,Right,suNB,0
S-PNp,Left,suNB,0
S-PNp,Right,suNB,0
S-PaN,Left,suNB,0
S-PaN,Right,suNB,0
TRdc,Left,suNB,0
TRdc,Right,suNB,0
TRdl-a/b,Left,suNB,0
TRdl-a/b,Right,suNB,1
TRdl-c,Left,suNB,0
TRdl-c,Right,suNB,0
TRdl-d,Left,suNB,0
TRdl-d,Right,suNB,0
TRdl-e,Left,suNB,0
TRdl-e,Right,suNB,0
TRdm,Left,suNB,0
TRdm,Right,suNB,0
TRmotor,Left,suNB,0
TRmotor,Right,suNB,0
TRvm,Left,suNB,0
TRvm,Right,suNB,0
Unbound,Left,suNB,0
Unbound,Right,suNB,0
